week,protest
2020/1/5,4
2020/1/12,17
2020/1/19,4
2020/1/26,0
2020/2/2,4
2020/2/9,4
2020/2/16,8
2020/2/23,7
2020/3/1,3
2020/3/8,7
2020/3/15,0
2020/3/22,0
2020/3/29,9
2020/4/5,3
2020/4/12,3
2020/4/19,6
2020/4/26,9
2020/5/3,0
2020/5/10,9
2020/5/17,3
2020/5/24,10
2020/5/31,100
2020/6/7,82
2020/6/14,9
2020/6/21,12
2020/6/28,6
2020/7/5,6
2020/7/12,17
2020/7/19,7
2020/7/26,7
2020/8/2,4
2020/8/9,17
2020/8/16,18
2020/8/23,36
2020/8/30,14
2020/9/6,17
2020/9/13,7
2020/9/20,7
2020/9/27,15
2020/10/4,4
2020/10/11,19
2020/10/18,16
2020/10/25,8
2020/11/1,17
2020/11/8,8
2020/11/15,8
2020/11/22,8
2020/11/29,4
2020/12/6,33
2020/12/13,12
2020/12/20,8
2020/12/27,12
2021/1/3,7
2021/1/10,10
2021/1/17,7
2021/1/24,18
2021/1/31,19
2021/2/7,8
2021/2/14,4
2021/2/21,11
2021/2/28,15
2021/3/7,12
2021/3/14,28
2021/3/21,26
2021/3/28,21
2021/4/4,19
2021/4/11,8
2021/4/18,20
2021/4/25,8
2021/5/2,23
2021/5/9,15
2021/5/16,49
2021/5/23,13
2021/5/30,9
2021/6/6,0
